Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
2000-01-03,15.532902717590332,15.532902717590332,14.933643212516833,15.045208009912747,25152894
2000-01-04,16.517858505249023,16.702735824322286,15.226903034149379,15.532907628083068,47648560
2000-01-05,15.838911056518555,16.87486378134978,15.618971018106077,15.873973774419262,36396207
2000-01-06,16.63898468017578,17.08524143842361,16.065227832055513,16.065227832055513,70573968
2000-01-07,17.423118591308594,17.843873709958352,16.256476352579327,16.670858658729554,83453217
2000-01-10,17.18086051940918,18.478192184318928,16.906732983376493,17.85024539843825,58497022
2000-01-11,15.80703067779541,17.021483582270783,15.80703067779541,17.008734093664568,25729224
2000-01-12,15.60303020477295,16.033349045882197,15.083461060369133,15.555216713818899,29729836
2000-01-13,15.5870943069458,16.294729163591754,15.497842703847198,15.682720011970991,34199308
2000-01-14,15.249212265014648,15.618968126318265,15.17908684219667,15.618968126318265,15967246
2000-01-17,15.038835525512695,16.00147434873873,14.809333074843769,15.580717922737676,46484261
2000-01-18,15.073897361755371,15.36396406989745,14.901769567214899,15.102585971881421,28686319
2000-01-19,15.552026748657227,15.778342092525435,15.3002111388069,15.357587059451262,26623142
2000-01-20,15.153586387634277,15.606217157355978,15.061147745613328,15.491465295282179,12278096
2000-01-21,15.137646675109863,15.284274179387012,15.013332388111003,15.220522866442437,12491796
2000-01-24,14.5543212890625,15.322518675869707,14.47782051303515,15.086640960934215,19667143
2000-01-25,14.334386825561523,14.528825243955678,14.190946366356721,14.407699291557801,23597920
2000-01-26,14.334386825561523,14.334386825561523,14.334386825561523,14.334386825561523,0
2000-01-27,14.672268867492676,15.013336157651972,14.535205056734048,14.598955096946515,21205095
2000-01-28,15.842093467712402,15.848470145676133,14.83483094218367,14.83483094218367,52762279
2000-01-31,15.599845886230469,16.368043771644732,15.459593728112502,15.682720814164128,51181391
2000-02-01,15.714591026306152,15.982344467629755,15.475526190117726,15.61896534957846,23279485
2000-02-02,15.778345108032227,16.492355269467666,15.682718125769581,16.383978796146497,24676879
2000-02-03,16.49873161315918,16.887612377112344,15.848472735640657,15.937723044425697,77717350
2000-02-04,16.313854217529297,16.878049878170863,16.224603902235696,16.575233638894385,33982238
2000-02-07,15.77196979522705,16.4923553500823,15.52971657654493,16.4923553500823,21819083
2000-02-08,15.4468355178833,15.842090238196874,15.351208565214048,15.746464574265831,25418399
2000-02-09,15.644465446472168,16.192723100737368,15.50102628856537,16.192723100737368,14956246
2000-02-10,15.86121940612793,15.998283184428228,15.440463054419691,15.440463054419691,19541274
2000-02-11,15.944092750549316,16.42859904082589,15.720964480655619,16.00146866502131,31623752
2000-02-14,16.995983123779297,17.22229975354395,16.02378340121927,16.06522149401216,67707767
2000-02-15,16.18635368347168,17.34024533860436,15.746472320037247,17.333869947542677,50319322
2000-02-16,15.937722206115723,16.383978881522957,15.778345190252745,16.383978881522957,21683665
2000-02-17,15.937722206115723,16.179975424876087,15.746469529332426,15.810220851173064,18448442
2000-02-18,15.370338439941406,16.116222922649072,15.236461704872376,16.04928584385308,16000844
2000-02-21,15.567967414855957,15.867597874880396,15.300215195422508,15.491466596626585,21332035
2000-02-22,15.115334510803223,15.708217380778779,14.917706457898529,15.6189670829251,17503185
2000-02-23,14.920899391174316,15.81022461433125,14.790209665789616,15.612596500576615,13530713
2000-02-24,15.513777732849121,15.746468495808383,14.933644350644665,15.04520915654319,16693494
2000-02-25,15.36396598815918,15.714595722167108,15.246027059832358,15.427717317520175,11083761
2000-02-28,15.647653579711914,15.854844061582146,15.12808449430242,15.363962294244628,15615542
2000-02-29,14.583015441894531,16.702732688440943,14.39813815753135,15.867596569514333,41242798
2000-03-01,15.057962417602539,15.395842681557989,14.343952120510291,14.853960211998386,21711444
2000-03-02,14.407697677612305,15.389461120308258,14.21644504216844,15.2364595274485,24391861
2000-03-03,13.272933006286621,14.528825425814858,13.256996466025088,14.216446812638976,18472003
2000-03-06,13.521560668945312,14.280195792539796,12.950989834804117,13.687313032439368,25168241
2000-03-07,13.228310585021973,13.610815982389807,12.909556516795032,13.521565668079072,21692038
2000-03-08,12.205106735229492,13.323935421300316,12.170044025374917,13.323935421300316,18162937
2000-03-09,11.405031204223633,12.367669750938635,11.229716399265788,12.20829277268044,24882047
2000-03-10,10.863150596618652,11.532535552473806,10.71971077911562,11.532535552473806,13936660
