Open,High,Low,Close,Volume
136.0,138.88,134.63,138.31,198247200
140.00999,144.89999,139.73,144.47,229322500
148.59,152.16,147.82001,149.42999,265377400
153.03,153.13,140.00999,140.14,351782200
142.58,143.95,137.56,140.11,227349900
137.45,139.92,134.22,135.91,207602500
129.99001,133.49001,129.50999,133.23,204808900
136.05,136.38,130.05,131.75999,195590500
133.64999,136.45,131.28999,136.24001,185217300
138.64,138.75,133.49001,133.57001,209235600
136.69,138.5,135.46001,137.71001,201188800
139.16,141.83,137.09,140.83,197749000
144.66,147.78999,143.67,147.07001,237651400
145.05,147.23,143.72,147.22,155915500
148.37,148.97,141.88,142.62,234657600
124.8,128.39999,116.7,118.42,818830900
121.81,129.0,116.25,128.99001,579666400
126.5,126.89,120.05,123.7,467120600
123.1,125.0,118.1,124.65,392925500
123.78,127.85,119.19,120.07,390372900
114.75,118.57,113.01,116.66,371235700
116.96,121.2,116.7,118.65,256550000
121.76,125.0,120.76,124.83,262230800
127.42,128.77,125.21,128.67999,251483600
129.22,130.37,125.0,129.84,228186300
130.09,135.0,129.96001,133.57001,216989100
132.58,134.48,131.02,132.8,178902400
130.02,132.24001,129.08,131.14,160278600
131.56,136.5,131.17,135.28999,197430000
136.48,139.25,135.5,138.85001,195479600
141.27,143.44,137.92999,139.39999,219176600
139.50999,141.36,137.22,139.23,167536000
140.03,140.66,136.78999,140.11,143903600
140.03999,141.46001,134.03,134.42999,228217600
136.56,138.59,130.08,130.28,251381100
129.98,130.2,124.44,126.63,271428700
129.99001,133.73,128.49001,131.28,322553800
135.0,135.00999,120.01,120.15,443175800
118.02,125.09,116.4,124.92,389091100
123.51,123.7,112.28,114.06,411381400
110.65,119.31,110.11,115.99,398163300
117.58,118.28,114.51,117.3,284337900
113.53,115.35,110.22,110.57,321181900
111.25,113.48,107.56,112.69,341755500
109.9,111.85,105.46,106.98,366487400
106.99,112.24,104.77,108.76,354865700
114.12,116.76,112.88,115.74,323857500
117.03,117.76,113.79,115.58,299033100
118.61,121.88,118.15,121.67,277593500
122.74,122.89,118.03,119.53,255501500
118.0,119.02,114.54,115.43,299686900
117.27,120.45,115.68,117.52,273426200
116.55,120.2,116.47,118.53,248829700
116.94,117.99,115.42,117.7,266498500
119.88,122.22,119.34,121.41,228452500
120.55,121.29,118.92,120.69,167447200
118.73,118.84,112.71,113.76,293463300
111.35,114.45,110.66,111.43,236902100
111.49,112.87,109.07,109.67,229872500
