Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.38558578491211,35.25071281473011,26.768006081918546,28.908803575805525,855215656
1,2007-10-08,30.727670669555664,33.480122790770764,30.534515292099577,33.480122790770764,126671715
2,2007-10-09,32.82017517089844,33.10990603070133,29.085854182395227,30.743762670622203,116725709
3,2007-10-10,33.126007080078125,33.8020487537738,32.83627618174463,33.67327776759036,67931378
4,2007-10-11,36.828125,38.630900838195814,32.83626702237896,38.630900838195814,106320954
5,2007-10-12,36.58669662475586,37.95487460321982,35.733598287930164,36.05552251815698,99410791
6,2007-10-15,37.069580078125,37.56856521587449,36.747655873012995,37.3432165257455,41814972
7,2007-10-16,40.85218048095703,41.49603311559861,36.860322090982606,37.11785965173882,138614496
8,2007-10-17,44.039241790771484,45.06939660809636,34.15616494836811,36.69936743124684,204876259
9,2007-10-18,42.493995666503906,48.11157371603889,40.67512512935705,44.74746467056655,146617799
10,2007-10-19,42.349143981933594,44.07143949273874,40.240537647000934,41.52823457225684,110266491
11,2007-10-22,41.7857666015625,43.089557680577606,40.40149011755646,41.49603573582313,72253405
12,2007-10-23,44.7635612487793,45.165966407860594,42.81591765900058,42.81591765900058,74594921
13,2007-10-24,44.07142639160156,46.1961265599384,43.57244136157235,45.713235990139744,63055170
14,2007-10-25,43.97484588623047,45.00500485164343,38.84015425191117,42.5744750435638,34522489
15,2007-10-26,45.29475784301758,46.019087491690996,43.54026872523536,44.747484806357726,62370025
16,2007-10-29,46.212223052978516,47.322863116257366,45.80981786575801,46.03516651715179,43657697
17,2007-10-30,47.242393493652344,48.51399157269075,45.455711410864794,46.83998820920156,79921711
18,2007-10-31,48.224239349365234,49.28659145109542,47.322853656722835,47.48381569943575,44655368
19,2007-11-01,47.14578628540039,49.785565168242606,46.75948005601141,49.41535339435448,50632492
20,2007-11-02,47.998905181884766,48.28864043902508,45.06939424998914,45.439610552695946,32001693
21,2007-11-05,48.98075866699219,50.059205156946895,47.67696358521128,47.96669873652342,38833135
22,2007-11-06,49.6246337890625,52.76339512698834,48.94859201223385,49.833883671648834,81880281
23,2007-11-07,48.900291442871094,51.25033603130588,47.80575018752306,50.542105509081054,33593141
24,2007-11-08,48.06329345703125,49.36708906093631,47.00094536470238,47.644793751902014,27990521
25,2007-11-12,49.22222900390625,50.09142620696939,45.343039254089796,46.61464176109383,35153735
26,2007-11-13,50.3972282409668,51.41128826324232,48.46568367801341,50.05920968899994,43830531
27,2007-11-14,49.7372932434082,51.990762246708975,49.47975130891987,51.28252738483562,36738579
28,2007-11-15,50.57429504394531,51.45958640579601,49.624617109228,50.670870536869735,29242252
29,2007-11-16,50.22016143798828,51.36298999017567,49.6406955681,50.34893017583877,18895294
30,2007-11-19,52.039039611816406,53.92229634780653,50.9766918973475,51.36299817243857,40716718
31,2007-11-20,51.234222412109375,53.27844090827307,50.60646879711352,51.829782750320334,26342171
32,2007-11-21,47.242393493652344,51.84590820121859,46.099559865986045,51.54008280486207,26814499
33,2007-11-22,45.616661071777344,48.64275147785787,43.63682848602828,46.74339556065289,34096185
34,2007-11-23,48.64274597167969,48.932476791318976,45.9063867277806,48.61055268808086,27664090
35,2007-11-26,49.02904510498047,50.44551007878759,48.64273885741914,50.44551007878759,20159123
36,2007-11-27,47.82184600830078,49.86606532697377,47.322865299675314,49.86606532697377,20573198
37,2007-11-28,47.113609313964844,49.09344634450187,46.79168516153616,48.868097691251485,16435311
38,2007-11-29,45.84202194213867,48.546184563363205,45.24646125162227,48.288646929485346,25530967
39,2007-11-30,47.612579345703125,47.90231011818801,46.0351523698415,46.67900047152987,18437721
40,2007-12-03,48.288639068603516,48.88419966216892,47.82184727101483,48.19205919683893,16851227
41,2007-12-04,47.66086959838867,49.012952429926166,47.306752250474126,48.610547345108415,14008727
42,2007-12-05,49.560245513916016,49.73730645962087,47.64479897196269,47.74137449407312,27725290
43,2007-12-06,48.64274597167969,51.39519530781554,48.01499222381532,50.63867279193095,24104710
44,2007-12-07,48.43350601196289,49.6407217530561,47.564313298201604,48.948585601437934,11742386
45,2007-12-10,48.481788635253906,49.077344791066345,47.85403482633609,48.90028826361544,8330010
46,2007-12-11,48.256446838378906,49.19002608769424,48.01500370322618,48.916389661245915,11685950
47,2007-12-12,48.224239349365234,48.658837737965094,47.322853656722835,47.64477774214867,16342131
48,2007-12-13,47.419429779052734,48.93247474762881,47.24237327621666,48.288626568043234,14620172
49,2007-12-14,46.952640533447266,47.69306859813399,46.71119745360107,47.25847018113583,10991851
50,2007-12-17,44.11970520019531,47.483813482371886,43.45975823606097,47.22627160623117,19355678
51,2007-12-18,43.92657470703125,45.391328308491794,42.55839663471292,43.62074492078572,21607783
52,2007-12-19,43.121742248535156,45.729328245593685,42.751530419050745,45.343017591816526,19526912
53,2007-12-20,42.68714904785156,44.039232134188076,42.49399369746414,43.68511471954037,17105204
54,2007-12-24,43.99095153808594,44.68308765362374,42.97688687532872,43.33100434753155,16711519
55,2007-12-26,45.32694625854492,45.874219236204716,44.23240466960246,44.23240466960246,20930094
56,2007-12-27,45.64885330200195,46.90435654440217,45.262542596782424,46.26050827995329,44565277
57,2007-12-28,46.002967834472656,46.19612317496375,45.06938441649492,45.55227058453504,18354518
58,2007-12-31,46.34097671508789,46.61461302636498,45.777609636848005,46.3570755371479,11982308
59,2008-01-01,47.194095611572266,47.628694139059554,46.147841999580315,46.582440527067604,16687746
